SampleID	Experiment	Farm	Year	farm_number	section	row	block	section_block	farm_block	year_farm_block	farm_section_block	year_farm_section_block	farm_section_block_treatment	year_farm_section_block_treatment	Sample_type	DNA	DNA_sample_label	DNA_sample_name	DNA_seq_number	DNA_plate_number	DNA_col	DNA_row	Tissue	DNA_control	Treatment	Seed_source	Disinfection	Inoculation	plot_level	soil_moisture_at_planting	plants_at_planting	approx_plants_at_harvest	cob weight grams	cob_weight_g_plot_avg	max_cob_weight_plot	is_disease_score	seed_weight_g_plot	seed_weight_g_block	lb_seeds_plot	lb_seeds_block	cob_count_wk12	cob_count	cobs_per_plant	seeds_per_cob_g	Seeds_per_plant	disease	disease_plot_avg	Height	Height_avg	copies_ITS_all	copies_Fus_all	copies_Fverti_all	copies_Fum_all	perc_Fus_ITS	perc_Fvert_Fus	perc_Fum_Fus	log_copies_ITS_all	log_copies_Fus_all	log_copies_Fverti_all	log_copies_Fum_all
Sample85	1	OSU	2013	3	0	2	2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.3	2013.3.0.2.3	Crown	1		OSU.13.CR8.0.2.3	85	1	11	E	Crown	0	3	2	0	0	0	0.0853552895																0.6520463576					0.1580336132							0.0637211654		
Sample86	1	OSU	2013	3	0	5	5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.3	2013.3.0.5.3	Crown	1		OSU.13.CR8.0.5.3	86	1	11	F	Crown	0	3	2	0	0	0	0.0853552895																0.7442516556					0.2126411487							0.0837323011		
Sample87	1	OSU	2013	3	0	2	2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.4	2013.3.0.2.4	Crown	1		OSU.13.CR8.0.2.4	87	1	11	G	Crown	0	4	2	1	0	0	0.0944165317																0.6421655629					0.1575852383							0.06355298		
Sample88	1	OSU	2013	3	0	5	5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.4	2013.3.0.5.4	Crown	1		OSU.13.CR8.0.5.4	88	1	11	H	Crown	0	4	2	1	0	0	0.0944165317																0.8260331126					0.1156404668							0.0475242587		
Sample89	1	OSU	2013	3	0	3	3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.1	2013.3.0.3.1	Crown	1		OSU.13.CR8.0.3.1	89	1	12	A	Crown	0	1	1	0	0	0	0.0783454209																0.724013245					0.2571732465							0.0993951304		
Sample90	1	OSU	2013	3	0	6	6	0.6	3.6	2013.3.6	OSU.0.6	2013.OSU.0.6	3.0.6.1	2013.3.0.6.1	Crown	1		OSU.13.CR8.0.6.1	90	1	12	B	Crown	0	1	1	0	0	0	0.0783454209																0.7457417219					0.0785869598							0.0328551653		
Sample91	1	OSU	2013	3	0	3	3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.2	2013.3.0.3.2	Crown	1		OSU.13.CR8.0.3.2	91	1	12	C	Crown	0	2	1	1	0	0	0.082223072																0.6130662252					0.1937402347							0.0769098319		
Sample92	1	OSU	2013	3	0	6	6	0.6	3.6	2013.3.6	OSU.0.6	2013.OSU.0.6	3.0.6.2	2013.3.0.6.2	Crown	1		OSU.13.CR8.0.6.2	92	1	12	D	Crown	0	2	1	1	0	0	0.082223072																0.6105761589					0.1829752902							0.0729756732		
Sample93	1	OSU	2013	3	0	3	3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.3	2013.3.0.3.3	Crown	1		OSU.13.CR8.0.3.3	93	1	12	E	Crown	0	3	2	0	0	0	0.0944777658																0.6850397351					0.1992151697							0.0788971136		
Sample94	1	OSU	2013	3	0	6	6	0.6	3.6	2013.3.6	OSU.0.6	2013.OSU.0.6	3.0.6.3	2013.3.0.6.3	Crown	1		OSU.13.CR8.0.6.3	94	1	12	F	Crown	0	3	2	0	0	0	0.0944777658																0.7980993377					0.1621898695							0.0652770855		
Sample95	1	OSU	2013	3	0	3	3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.4	2013.3.0.3.4	Crown	1		OSU.13.CR8.0.3.4	95	1	12	G	Crown	0	4	2	1	0	0	0.0671357035																0.7205099338					0.1696910368							0.068071162		
Sample96	1														DNA_control	1		plate1.ctl5	96	1	12	H	DNA_control	1																						0.6727615894					4.138491616							0.7108356523		
Sample97	1	OSU	2013	3	0		1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.1	2013.3.0.1.1	Seed	1		OSU.13.SDH.0.1.1	97	2	1	A	Seed	0	1	1	0	0	1	0.0671357035	120	40		94.8596491228	212		901.1666666667	5407	1.98673404	11.9204042399	67	57	1.425	94.8596491228	135.175	0.6727615894	0.6727615894			15766.0514040282	26.124072945						4.1977229382	1.4170408878		
Sample98	1	OSU	2013	3	0		1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.2	2013.3.0.1.2	Seed	1		OSU.13.SDH.0.1.2	98	2	1	B	Seed	0	2	1	1	0	1	0.0671357035	120	40		91.6730769231	177		794.5	4767	1.7515741018	10.509444611	70	52	1.3	91.6730769231	119.175	0.7347615894	0.7347615894			18457.3269158768	33.2671709101						4.2661688045	1.5220158694		
Sample99	1	OSU	2013	3	0		1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.3	2013.3.0.1.3	Seed	1		OSU.13.SDH.0.1.3	99	2	1	C	Seed	0	3	2	0	0	1	0.0671357035	120	40		89	144		637.8333333333	3827	1.4061829427	8.437097656	52	43	1.075	89	95.675	0.7205099338	0.7205099338			16471.8655427861	30.7561758345						4.2167427885	1.4879323351		
Sample100	1	OSU	2013	3	0		1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.4	2013.3.0.1.4	Seed	1		OSU.13.SDH.0.1.4	100	2	1	D	Seed	0	4	2	1	0	1	0.0671357035	120	40		94.196969697	164		1036.1666666667	6217	2.2843583367	13.7061500203	71	66	1.65	94.196969697	155.425	0.7385496689	0.7385496689			20859.0079453935	41.2759812918						4.3192936495	1.6156974069		
Sample101	1	OSU	2013	3	0		2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.1	2013.3.0.2.1	Seed	1		OSU.13.SDH.0.2.1	101	2	1	E	Seed	0	1	1	0	0	1	0.0853552895	120	40		92.6101694915	166		910.6666666667	5464	2.007677972	12.0460678319	70	59	1.475	92.6101694915	136.6	0.7027682119	0.7027682119			16559.0577650559	30.9871405802						4.2190356212	1.4911815024		
Sample102	1	OSU	2013	3	0		2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.2	2013.3.0.2.2	Seed	1		OSU.13.SDH.0.2.2	102	2	1	F	Seed	0	2	1	1	0	1	0.0853552895	120	40		90.5593220339	155		890.5	5343	1.9632180462	11.779308277	65	59	1.475	90.5593220339	133.575	0.6520463576	0.6520463576			28114.9358140557	53.1857947462						4.4489370964	1.7257956532		
Sample103	1	OSU	2013	3	0		2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.3	2013.3.0.2.3	Seed	1		OSU.13.SDH.0.2.3	103	2	1	G	Seed	0	3	2	0	0	1	0.0853552895	120	40		91.5818181818	164		839.5	5037	1.8507822008	11.1046932045	57	55	1.375	91.5818181818	125.925	0.7257615894	0.7257615894			20337.3568515597	39.364250826						4.3082945091	1.5951019904		
Sample104	1	OSU	2013	3	0		2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.4	2013.3.0.2.4	Seed	1		OSU.13.SDH.0.2.4	104	2	1	H	Seed	0	4	2	1	0	1	0.0853552895	120	40		88.1076923077	167		954.5	5727	2.1043140091	12.6258840544	74	65	1.625	88.1076923077	143.175	0.7442516556	0.7442516556			12992.8376472753	39.234288256						4.1137040117	1.5936657785		
Sample105	1	OSU	2013	3	0		3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.1	2013.3.0.3.1	Seed	1		OSU.13.SDH.0.3.1	105	2	2	A	Seed	0	1	1	0	0	1	0.0944165317	120	40		103.4333333333	155		1034.3333333333	6206	2.2803165253	13.6818991517	64	60	1.5	103.4333333333	155.15	0.6772582781	0.6772582781			16048.3635965546	24.3959143424						4.2054307553	1.3873170998		
Sample106	1	OSU	2013	3	0		3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.2	2013.3.0.3.2	Seed	1		OSU.13.SDH.0.3.2	106	2	2	B	Seed	0	2	1	1	0	1	0.0944165317	120	40		101.1428571429	149		1062	6372	2.3413111342	14.0478668054	65	63	1.575	101.1428571429	159.3	0.6421655629	0.6421655629			15470.9070080063	26.0874042001						4.1895157757	1.4164308672		
Sample107	1	OSU	2013	3	0		3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.3	2013.3.0.3.3	Seed	1		OSU.13.SDH.0.3.3	107	2	2	C	Seed	0	3	2	0	0	1	0.0944165317	120	40		97.5438596491	165		926.6666666667	5560	2.0429519627	12.2577117762	61	57	1.425	97.5438596491	139	0.8225562914	0.8225562914			18248.281297513	37.2917722369						4.261221967	1.5716130231		
Sample108	1	OSU	2013	3	0		3	0.3	3.3	2013.3.3	OSU.0.3	2013.OSU.0.3	3.0.3.4	2013.3.0.3.4	Seed	1		OSU.13.SDH.0.3.4	108	2	2	D	Seed	0	4	2	1	0	1	0.0944165317	120	40		92.9245283019	163		820.8333333333	4925	1.8096292116	10.8577752694	59	53	1.325	92.9245283019	123.125	0.8260331126	0.8260331126			15115.3073036538	39.0858910226						4.1794169811	1.5920200168		
Sample109	1	OSU	2013	3	0		4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.1	2013.3.0.4.1	Seed	1		OSU.13.SDH.0.4.1	109	2	2	E	Seed	0	1	1	0	0	1	0.0783454209	120	40		94.1833333333	163		941.8333333333	5651	2.0763887664	12.4583325985	60	60	1.5	94.1833333333	141.275	0.6946556291	0.6946556291			9578.7581486167	14.2245811399						3.981309208	1.1530394869		
Sample110	1	OSU	2013	3	0		4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.2	2013.3.0.4.2	Seed	1		OSU.13.SDH.0.4.2	110	2	2	F	Seed	0	2	1	1	0	1	0.0783454209	120	40		91.5	157		884.5	5307	1.9499902997	11.6999417979	63	58	1.45	91.5	132.675	0.724013245	0.724013245			17837.5773406503	20.9233131106						4.2513358692	1.3206304542		
Sample111	1	OSU	2013	3	0		4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.3	2013.3.0.4.3	Seed	1		OSU.13.SDH.0.4.3	111	2	2	G	Seed	0	3	2	0	0	1	0.0783454209	120	40		96.04	181		800.3333333333	4802	1.764434411	10.5866064657	51	50	1.25	96.04	120.05	0.7428145695	0.7428145695			14909.5669409773	19.3046988597						4.1734650292	1.2856630313		
Sample112	1	OSU	2013	3	0		4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.4	2013.3.0.4.4	Seed	1		OSU.13.SDH.0.4.4	112	2	2	H	Seed	0	4	2	1	0	1	0.0783454209	120	40		95.0344827586	167		918.6666666667	5512	2.0253149674	12.1518898041	66	58	1.45	95.0344827586	137.8	0.7457417219	0.7457417219			13387.7838545394	19.714346342						4.1267086921	1.294782382		
Sample113	1	OSU	2013	3	0		5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.1	2013.3.0.5.1	Seed	1		OSU.13.SDH.0.5.1	113	2	3	A	Seed	0	1	1	0	0	1	0.082223072	120	40		94.4912280702	178		897.6666666667	5386	1.9790178545	11.8741071271	63	57	1.425	94.4912280702	134.65	0.6285562914	0.6285562914			13770.2496059905	21.0166939958						4.1389418126	1.3225644009		
Sample114	1	OSU	2013	3	0		5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.2	2013.3.0.5.2	Seed	1		OSU.13.SDH.0.5.2	114	2	3	B	Seed	0	2	1	1	0	1	0.082223072	120	40		101.0754716981	162		892.8333333333	5357	1.9683621698	11.8101730189	59	53	1.325	101.0754716981	133.925	0.6130662252	0.6130662252			10895.6132993645	25.9824036643						4.0372516811	1.4146793257		
Sample115	1	OSU	2013	3	0		5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.3	2013.3.0.5.3	Seed	1		OSU.13.SDH.0.5.3	115	2	3	C	Seed	0	3	2	0	0	1	0.082223072	120	40		93.1320754717	155		822.6666666667	4936	1.813671023	10.882026138	57	53	1.325	93.1320754717	123.4	0.7380993377	0.7380993377			12819.374976596	19.863768886						4.1078668512	1.2980616536		
Sample116	1	OSU	2013	3	0		5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.4	2013.3.0.5.4	Seed	1		OSU.13.SDH.0.5.4	116	2	3	D	Seed	0	4	2	1	0	1	0.082223072	120	40		95.8611111111	185		862.75	5176.5	1.9020397185	11.4122383111	54	54	1.35	95.8611111111	129.4125	0.6105761589	0.6105761589			19122.3209658421	26.8327256133						4.2815406035	1.4286647897		
Sample117	1	OSU	2013	3	0		6	0.6	3.6	2013.3.6	OSU.0.6	2013.OSU.0.6	3.0.6.1	2013.3.0.6.1	Seed	1		OSU.13.SDH.0.6.1	117	2	3	E	Seed	0	1	1	0	0	1	0.0944777658	120	40		96.512195122	171		659.5	3957	1.4539498051	8.7236988307	54	41	1.025	96.512195122	98.925	0.6497549669	0.6497549669			19661.1252160634	30.110642976						4.2936083691	1.4787200294		
Sample118	1	OSU	2013	3	0		6	0.6	3.6	2013.3.6	OSU.0.6	2013.OSU.0.6	3.0.6.2	2013.3.0.6.2	Seed	1		OSU.13.SDH.0.6.2	118	2	3	F	Seed	0	2	1	1	0	1	0.0944777658	120	40		89.1785714286	167		832.3333333333	4994	1.8349823924	11.0098943544	50	56	1.4	89.1785714286	124.85	0.6850397351	0.6850397351			20022.2307135971	372.7538713253						4.3015124614	2.5714221626		
Sample119	1	OSU	2013	3	0		6	0.6	3.6	2013.3.6	OSU.0.6	2013.OSU.0.6	3.0.6.3	2013.3.0.6.3	Seed	1		OSU.13.SDH.0.6.3	119	2	3	G	Seed	0	3	2	0	0	1	0.0944777658	120	40		90.6470588235	172		770.5	4623	1.6986631158	10.1919786945	56	51	1.275	90.6470588235	115.575	0.6728410596	0.6728410596			14420.881662425	23.0846988304						4.158991813	1.363324213		
Sample120	1	OSU	2013	3	0		6	0.6	3.6	2013.3.6	OSU.0.6	2013.OSU.0.6	3.0.6.4	2013.3.0.6.4	Seed	1		OSU.13.SDH.0.6.4	120	2	3	H	Seed	0	4	2	1	0	1	0.0944777658	120	40		91.1956521739	152		699.1666666667	4195	1.5413999071	9.2483994427	60	46	1.15	91.1956521739	104.875	0.7980993377	0.7980993377			11546.3281455651	20.1714367771						4.0624438959	1.3047368334		
Sample121	1	AS	2014	1	1	1	1	1.1	1.1	2014.1.1	AS.1.1	2014.AS.1.1	1.1.1.2	2014.1.1.1.2	Seed	1		AS.14.SDH.1.1.2	121	2	4	A	Seed	0	2	3	1	0	1		20	18		136.2916666667	181	1	2201.9		4.85			24	1.3333333333	91.7458333333	122.3277777778	0.528999622	0.505555203	170	119	29831.7658741121	8835.7885862424	5157.5699687688	171.181858344	29.6187246291	58.3713600481	1.9373693324	4.4746935198	3.9462944649	3.7125293255	2.2359873908
Sample125	1	AS	2014	1	1	1	1	1.1	1.1	2014.1.1	AS.1.1	2014.AS.1.1	1.1.1.3	2014.1.1.1.3	Seed	1		AS.14.SDH.1.1.3	125	2	4	E	Seed	0	3	3	0	1	1		20	18		93.8603076923	154.224	1	1775.14		3.91			26	1.4444444444	68.2746153846	98.6188888889	0.6423729421	0.643955906	143	115	30323.0891214626	603.461502264	495.7405040304	11.8629775842	1.9901056249	82.1494829696	1.9658217699	4.4817877643	2.7813686462	2.6961295736	1.1093415128
Sample137	1	AS	2014	1	1	2	1	1.1	1.1	2014.1.1	AS.1.1	2014.AS.1.1	1.1.1.1	2014.1.1.1.1	Seed	1		AS.14.SDH.2.1.1	137	2	6	A	Seed	0	1	3	0	0	1		20	18		94.6666666667	167	1	971.56		2.14			15	0.8333333333	64.7706666667	53.9755555556	0.6279779723	0.6161247113	143	127.5	30978.5567594253	416.7433397184	386.241312216	11.7841835486	1.3452638964	92.6808602333	2.8276837145	4.4910751998	2.6209095345	2.5879816831	1.1066729974
Sample141	1	AS	2014	1	1	2	1	1.1	1.1	2014.1.1	AS.1.1	2014.AS.1.1	1.1.1.4	2014.1.1.1.4	Seed	1		AS.14.SDH.2.1.4	141	2	6	E	Seed	0	4	3	1	1	1		20	18		130.1052631579	220	1	1598.08		3.52			19	1.0555555556	84.1094736842	88.7822222222	0.5417667946	0.5820478793	116	149.5	29943.0258077096	1701.4583180136	1826.0976931032	37.5716948299	5.682319245	107.3254439307	2.2082054219	4.4763101884	3.2310764877	3.2617617693	1.5862687221
Sample129	1	AS	2014	1	1	1	2	1.2	1.2	2014.1.2	AS.1.2	2014.AS.1.2	1.1.2.2	2014.1.1.2.2	Seed	1		AS.14.SDH.1.2.2	129	2	5	A	Seed	0	2	3	1	0	1		20	18		109.2352941176	166	1	1284.82		2.83			17	0.9444444444	75.5776470588	71.3788888889	0.5941253073	0.5289789297	183	156	46055.6520110427	6178.3578715776	5370.4517840568	147.7498069326	13.4149829647	86.9236113493	2.391409012	4.6632923647	3.7909433477	3.7300916817	2.1724564107
Sample133	1	AS	2014	1	1	1	2	1.2	1.2	2014.1.2	AS.1.2	2014.AS.1.2	1.1.2.4	2014.1.1.2.4	Seed	1		AS.14.SDH.1.2.4	133	2	5	E	Seed	0	4	3	1	1	1		20	18		117.3846153846	180	1	1039.66		2.29			13	0.7222222222	79.9738461538	57.7588888889	0.7911784424	0.6550332043	154	154.5	40974.8604662316	7.2676200456	0	0	0.017736778	0	0	4.6125280822	0.9173805096	0	0
Sample145	1	AS	2014	1	1	2	2	1.2	1.2	2014.1.2	AS.1.2	2014.AS.1.2	1.1.2.1	2014.1.1.2.1	Seed	1		AS.14.SDH.2.2.1	145	2	7	A	Seed	0	1	3	0	0	1		20	18		96.6	184	1	935.24		2.06			15	0.8333333333	62.3493333333	51.9577777778	0.6652724629	0.6228911059	153	129	28440.9786945481	68.0492127768	22.3753848984	0.4257894654	0.2392646663	32.881181112	0.6257081427	4.4539598068	1.8391587316	1.3687587707	0.1540554016
Sample149	1	AS	2014	1	1	2	2	1.2	1.2	2014.1.2	AS.1.2	2014.AS.1.2	1.1.2.3	2014.1.1.2.3	Seed	1		AS.14.SDH.2.2.3	149	2	7	E	Seed	0	3	3	0	1	1		20	18		114.21875	218	1	2587.8		5.7			32	1.7777777778	80.86875	143.7666666667	0.7431860131	0.6416797488	73	103	28557.291010284	369.706752156	342.9276082512	7.5415194452	1.2946142266	92.7566527393	2.0398652178	4.4557322148	2.5690304965	2.5364670395	0.9315351339
Sample153	1	AS	2014	1	3	5	2	3.2	1.2	2014.1.2	AS.3.2	2014.AS.3.2	1.3.2.1	2014.1.3.2.1	Seed	1		AS.14.SDH.5.2.1	153	2	8	A	Seed	0	1	3	0	0	1		20	18		119.2272727273	183	1	1825.08		4.02			22	1.2222222222	82.9581818182	101.3933333333	0.5971108382	0.5513815426	78	103	26336.738130282	219.2215730088	41.8339194048	0	0.8323793627	19.0829391609	0	4.4205784753	2.3428598604	1.6317878152	0
Sample157	1	AS	2014	1	3	5	2	3.2	1.2	2014.1.2	AS.3.2	2014.AS.3.2	1.3.2.2	2014.1.3.2.2	Seed	1		AS.14.SDH.5.2.2	157	2	8	E	Seed	0	2	3	1	0	1		20	18		77.112	172.368	1	1298.44		2.86			27	1.5	48.0903703704	72.1355555556	0.5397606337	0.5791324088	82	120.5											
Sample169	1	AS	2014	1	3	6	2	3.2	1.2	2014.1.2	AS.3.2	2014.AS.3.2	1.3.2.3	2014.1.3.2.3	Seed	1		AS.14.SDH.6.2.3	169	2	10	A	Seed	0	3	3	0	1	1		20	18		98.23275	185.976	1	2215.52		4.88			32	1.7777777778	69.235	123.0844444444	0.6381985661	0.6011951459	156	163.5	22569.4317599418	4.7074076472	0	0	0.0208574487	0	0	4.353539867	0.7564388928	0	0
Sample173	1	AS	2014	1	3	6	2	3.2	1.2	2014.1.2	AS.3.2	2014.AS.3.2	1.3.2.4	2014.1.3.2.4	Seed	1		AS.14.SDH.6.2.4	173	2	10	E	Seed	0	4	3	1	1	1		20	18		107.8936170213	164	1	2201.9		4.85			47	2.6111111111	46.8489361702	122.3277777778	0.5067667669	0.5940595001	125	111	30413.5743970353	9.4191544848	0	0	0.0309702318	0	0	4.4830817436	1.0178324774	0	0
Sample161	1	AS	2014	1	3	5	3	3.3	1.3	2014.1.3	AS.3.3	2014.AS.3.3	1.3.3.3	2014.1.3.3.3	Seed	1		AS.14.SDH.5.3.3	161	2	9	A	Seed	0	3	3	0	1	1		20	18		115.875	177	1	2002.14		4.41			24	1.3333333333	83.4225	111.23	0.5169061797	0.5119655945	140	150	23511.7165308709	12.5923837704	3.0279207912	0.268295125	0.0535579091	24.0456520895	2.1306142657	4.371302808	1.133295628	0.6050809216	0.1032203231
Sample165	1	AS	2014	1	3	5	3	3.3	1.3	2014.1.3	AS.3.3	2014.AS.3.3	1.3.3.4	2014.1.3.3.4	Seed	1		AS.14.SDH.5.3.4	165	2	9	E	Seed	0	4	3	1	1	1		20	18		109.6666666667	168	1	1870.48		4.12			27	1.5	69.277037037	103.9155555556	0.6958817674	0.6334550607	132	119	22122.9281980831	582.5764251072	361.4469605136	12.6478082454	2.6333603757	62.0428402071	2.1710127119	4.3448622403	2.7660977393	2.5592444621	1.1350629119
Sample177	1	AS	2014	1	3	6	3	3.3	1.3	2014.1.3	AS.3.3	2014.AS.3.3	1.3.3.1	2014.1.3.3.1	Seed	1		AS.14.SDH.6.3.1	177	2	11	A	Seed	0	1	3	0	0	1		20	18		83.4349090909	208.656	1	1684.34		3.71			33	1.8333333333	51.0406060606	93.5744444444	0.6059726307	0.587311218	139	143	22102.7312807864	2584.4996568864	1517.760924948	37.987674859	11.6931234609	58.7255224006	1.4698270421	4.3444655921	3.4125444845	3.181489415	1.5909273356
Sample181	1	AS	2014	1	3	6	3	3.3	1.3	2014.1.3	AS.3.3	2014.AS.3.3	1.3.3.2	2014.1.3.3.2	Seed	1		AS.14.SDH.6.3.2	181	2	11	E	Seed	0	2	3	1	0	1		20	18		86.5421052632	185.976	1	2397.12		5.28			38	2.1111111111	63.0821052632	133.1733333333	0.616784833	0.6254257602	146	133	18997.7502105986	21.8984464896	3.388730004	0.2382582289	0.1152686305	15.4747507117	1.0880142982	4.2787250328	1.3598060193	0.6423388637	0.0928112228
Sample122	1	PC	2014	2	1	1	1	1.1	2.1	2014.2.1	PC.1.1	2014.PC.1.1	2.1.1.1	2014.2.1.1.1	Seed	1		PC.14.SDH.1.1.1	122	2	4	B	Seed	0	1	4	0	0	1		16	15		76.7058823529	127	1	1027		2.2621145374			17	1.1333333333	60.4117647059	68.4666666667	0.5905179328	0.5905179328			19411.1549904403	525.0487591488	308.3627893608	8.4012466338	2.7048815972	58.7303148494	1.6000888465	4.2880737501	2.7210260005	2.4904680749	0.9731854462
Sample126	1	PC	2014	2	1	1	1	1.1	2.1	2014.2.1	PC.1.1	2014.PC.1.1	2.1.1.3	2014.2.1.1.3	Seed	1		PC.14.SDH.1.1.3	126	2	4	F	Seed	0	3	4	0	1	1		16	15		78	104	1	688		1.5154185022			11	0.7333333333	62.5454545455	45.8666666667	0.5974097601	0.5974097601			28851.3246227061	3.1233087504	3.0539714328	0	0.0108255298	97.7800043755	0	4.4601808099	0.6152458557	0.607880684	0
Sample130	1	PC	2014	2	1	1	1	1.1	2.1	2014.2.1	PC.1.1	2014.PC.1.1	2.1.1.4	2014.2.1.1.4	Seed	1		PC.14.SDH.1.1.4	130	2	5	B	Seed	0	4	4	1	1	1		16	15		77.8745454545	131.27	1	652		1.436123348			11	0.7333333333	59.2727272727	43.4666666667	0.638553297	0.638553297			24160.3828359153	180.4678189776	160.9936721232	6.1907423864	0.7469576132	89.2090750779	3.4303857726	4.3831217868	2.2587996196	2.2094980502	0.8567737301
Sample138	1	PC	2014	2	1	1	1	1.1	2.1	2014.2.1	PC.1.1	2014.PC.1.1	2.1.1.2	2014.2.1.1.2	Seed	1		PC.14.SDH.1.1.2	138	2	6	B	Seed	0	2	4	1	0	1		16	15		75	125	1	441		0.9713656388			8	0.5333333333	55.125	29.4	0.7004601205	0.7004601205			19823.1565194207	268.7765847408	161.3241987192	3.6102040181	1.3558717779	60.0216714841	1.3431988585	4.297194718	2.4310042524	2.2103832677	0.6637201449
Sample134	1	PC	2014	2	1	1	2	1.2	2.2	2014.2.2	PC.1.2	2014.PC.1.2	2.1.2.1	2014.2.1.2.1	Seed	1		PC.14.SDH.1.2.1	134	2	5	F	Seed	0	1	4	0	0	1		16	15		82.8892307692	131.06	1	893		1.9669603524			13	0.8666666667	68.6923076923	59.5333333333	0.6824451811	0.6824451811			26420.3849310817	302.5893433128	200.0249781168	4.7977141784	1.1452874139	66.1044357765	1.5855529233	4.4219555783	2.4822865228	2.3032500235	0.7632568013
Sample142	1	PC	2014	2	1	1	2	1.2	2.2	2014.2.2	PC.1.2	2014.PC.1.2	2.1.2.2	2014.2.1.2.2	Seed	1		PC.14.SDH.1.2.2	142	2	6	F	Seed	0	2	4	1	0	1		16	15		72.1538461538	111	1	707		1.5572687225			13	0.8666666667	54.3846153846	47.1333333333	0.5857201571	0.5857201571			23464.7537043863	539.0790941232	420.0334069128	9.3135326385	2.2973993289	77.9168421651	1.7276746103	4.370434508	2.7324573665	2.6243165563	1.0134074473
Sample146	1	PC	2014	2	1	1	2	1.2	2.2	2014.2.2	PC.1.2	2014.PC.1.2	2.1.2.3	2014.2.1.2.3	Seed	1		PC.14.SDH.1.2.3	146	2	7	B	Seed	0	3	4	0	1	1		16	15		69.5714285714	114	1	402		0.8854625551			7	0.4666666667	57.4285714286	26.8	0.7914703886	0.7914703886			21849.8468284163	12013.8745104888	10552.1798755968	226.0825951091	54.9837928148	87.8332786511	1.8818458184	4.3394682727	4.0797192392	4.0233833406	2.3561838487
Sample150	1	PC	2014	2	1	1	2	1.2	2.2	2014.2.2	PC.1.2	2014.PC.1.2	2.1.2.4	2014.2.1.2.4	Seed	1		PC.14.SDH.1.2.4	150	2	7	F	Seed	0	4	4	1	1	1		16	15		73.8333333333	120	1	355		0.781938326			6	0.4	59.1666666667	23.6666666667	0.7128757717	0.7128757717			21754.9768707325	219.064567464	148.357548216	2.8336565922	1.0069629987	67.7232059632	1.2935257513	4.3375785884	2.3425501225	2.1742271758	0.5836132074
Sample154	1	PC	2014	2	1	1	3	1.3	2.3	2014.2.3	PC.1.3	2014.PC.1.3	2.1.3.1	2014.2.1.3.1	Seed	1		PC.14.SDH.1.3.1	154	2	8	B	Seed	0	1	4	0	0	1		16	15		45.125	63	1	425		0.936123348			8	0.5333333333	53.125	28.3333333333	0.5502455402	0.5502455402			31833.1758897876	157.551464232	13.3119721872	0	0.4949285135	8.4492849699	0	4.5028936115	2.2001702571	1.1556994836	0
Sample158	1	PC	2014	2	1	1	3	1.3	2.3	2014.2.3	PC.1.3	2014.PC.1.3	2.1.3.2	2014.2.1.3.2	Seed	1		PC.14.SDH.1.3.2	158	2	8	F	Seed	0	2	4	1	0	1		16	15		77.0721428571	133.49	1	865		1.9052863436			14	0.9333333333	61.7857142857	57.6666666667	0.6045282389	0.6045282389			30101.28182613	2004.7175606328	1791.38626062	40.4438274181	6.6599076153	89.3585358755	2.0174326904	4.4785994174	3.3022697769	3.2534316062	1.6174598565
