SampleID	Experiment	Farm	Year	farm_number	section	row	block	section_block	farm_block	year_farm_block	farm_section_block	year_farm_section_block	farm_section_block_treatment	year_farm_section_block_treatment	Sample_type	DNA	DNA_sample_label	DNA_sample_name	DNA_seq_number	DNA_plate_number	DNA_col	DNA_row	Tissue	DNA_control	Treatment	Seed_source	Disinfection	Inoculation	plot_level	soil_moisture_at_planting	plants_at_planting	approx_plants_at_harvest	cob weight grams	cob_weight_g_plot_avg	max_cob_weight_plot	is_disease_score	seed_weight_g_plot	seed_weight_g_block	lb_seeds_plot	lb_seeds_block	cob_count_wk12	cob_count	cobs_per_plant	seeds_per_cob_g	Seeds_per_plant	disease	disease_plot_avg	Height	Height_avg	copies_ITS_all	copies_Fus_all	copies_Fverti_all	copies_Fum_all	perc_Fus_ITS	perc_Fvert_Fus	perc_Fum_Fus	log_copies_ITS_all	log_copies_Fus_all	log_copies_Fverti_all	log_copies_Fum_all
Sample19	1	AS	2014	1	2	1	1	2.1	1.1	2014.1.1	AS.2.1	2014.AS.2.1	1.2.1.4	2014.1.2.1.4	Crown	1	A.1.4	AS.14.CR8.2.1.4	19	1	3	C	Crown	0	4	3	1	1	0																	0.4765382084					0.0793577136							0.0331653995		
Sample20	1	AS	2014	1	3	2	2	3.2	1.2	2014.1.2	AS.3.2	2014.AS.3.2	1.3.2.1	2014.1.3.2.1	Crown	1	B.2.1	AS.14.CR8.3.2.1	20	1	3	D	Crown	0	1	3	0	0	0																	0.5971108382														
Sample21	1	AS	2014	1	3	2	2	3.2	1.2	2014.1.2	AS.3.2	2014.AS.3.2	1.3.2.3	2014.1.3.2.3	Crown	1	B.2.2	AS.14.CR8.3.2.3	21	1	3	E	Crown	0	3	3	0	1	0																	0.5397606337					0.1672513494							0.0671643847		
Sample22	1	AS	2014	1	1	4	4	1.4	1.4	2014.1.4	AS.1.4	2014.AS.1.4	1.1.4.4	2014.1.1.4.4	Crown	1	C.4.4	AS.14.CR8.1.4.4	22	1	3	F	Crown	0	4	3	1	1	0																	0.5380749917					0.0514526377							0.0217897148		
Sample23	1	AS	2014	1	2	5	5	2.5	1.5	2014.1.5	AS.2.5	2014.AS.2.5	1.2.5.1	2014.1.2.5.1	Crown	1	A.5.1	AS.14.CR8.2.5.1	23	1	3	G	Crown	0	1	3	0	0	0																	0.5836789734					0.1030084651							0.0425788455		
Sample24	1	AS	2014	1	1	5	5	1.5	1.5	2014.1.5	AS.1.5	2014.AS.1.5	1.1.5.2	2014.1.1.5.2	Crown	1	C.5.2	AS.14.CR8.1.5.2	24	1	3	H	Crown	0	2	3	1	0	0																	0.6882087274					0.1125224251							0.0463087738		
Sample25	1	OSU	2014	3	1	4	4	1.4	3.4	2014.3.4	OSU.1.4	2014.OSU.1.4	3.1.4.8	2014.3.1.4.8	Crown	1	8.4.8	OSU.14.CR8.1.4.8	25	1	4	A	Crown	0	8	4	1	1	0																	0.6725353046														
Sample26	1	OSU	2014	3	2	4	4	2.4	3.4	2014.3.4	OSU.2.4	2014.OSU.2.4	3.2.4.2	2014.3.2.4.2	Crown	1	9.4.2	OSU.14.CR8.2.4.2	26	1	4	B	Crown	0	2	3	1	0	0																	0.6551066917					1.3459150938							0.3703122895		
Sample27	1	OSU	2014	3	1	2	2	1.2	3.2	2014.3.2	OSU.1.2	2014.OSU.1.2	3.1.2.4	2014.3.1.2.4	Crown	1	3.2.4	OSU.14.CR8.1.2.4	27	1	4	C	Crown	0	4	3	1	1	0																	0.6700820741					0.2246275812							0.0880040364		
Sample28	1	OSU	2014	3	2	2	2	2.2	3.2	2014.3.2	OSU.2.2	2014.OSU.2.2	3.2.2.8	2014.3.2.2.8	Crown	1	9.2.8	OSU.14.CR8.2.2.8	28	1	4	D	Crown	0	8	4	1	1	0																	0.7421955174					0.0915819626							0.0380563507		
